technology,country,energy_MJ
Hydro Run-of-river and poundage,CH,4077496863.69726
Hydro Water Reservoir,CH,23336589734.3885
Nuclear,CH,66026300027.1797
Solar,CH,950698886.053356
Wind Onshore,CH,167025688.681274
Hydro Pumped Storage,CH,24789016800
Biomass,PL,6448396437.87739
Fossil Brown coal/Lignite,PL,159928720376.337
Fossil Coal-derived gas,PL,1946219012.93606
Fossil Gas,PL,31089098180.9218
Fossil Hard coal,PL,285074963616.987
Fossil Oil,PL,5631595714.88755
Hydro Run-of-river and poundage,PL,5260385082.18928
Hydro Water Reservoir,PL,365314853.532177
Wind Onshore,PL,44182061124.3321
Hydro Pumped Storage,PL,2278843200
