fromCountry,toCountry,energy_MJ
AT,CH,17014312800.0
AT,CZ,20941200.0
AT,DE,2514938400.0
AT,HU,13018554000.0
AT,IT,5027220000.0
AT,SI,14681642400.0
BA,HR,18390214800.0
BA,ME,4435966800.0
BA,RS,743500800.0
BE,FR,5497221600.0
BE,GB,1800000.0
BE,LU,801694800.0
BE,NL,4079678400.0
BG,GR,7590618000.0
BG,MK,7863861600.0
BG,RO,4230892800.0
BG,RS,8228437200.0
BG,TR,7033777200.0
BY,LT,6105960000.0
CH,AT,1953540000.0
CH,DE,7686853200.0
CH,FR,6316534800.0
CH,IT,77062597200.0
CZ,AT,38760300000.0
CZ,DE,17738067600.0
CZ,PL,559630800.0
CZ,SK,32104695600.0
DE,AT,45364032000.0
DE,CH,51671260800.0
DE,CZ,27503085600.0
DE,DK,20926558800.0
DE,FR,6557025600.0
DE,LU,14907211200.0
DE,NL,70045516800.0
DE,PL,25409340000.0
DE,SE,1635339600.0
DK,DE,15676815600.0
DK,NO,9331059600.0
DK,SE,11799770400.0
EE,FI,2774559600.0
EE,LV,9660693600.0
EE,RU,3148074000.0
ES,FR,10742479200.0
ES,PT,10507482000.0
FI,EE,8435415600.0
FI,NO,265327200.0
FI,RU,21600.0
FI,SE,1948086000.0
FR,BE,36371894400.0
FR,CH,24274746000.0
FR,DE,36536547600.0
FR,ES,53866072800.0
FR,GB,48118928400.0
FR,IT,47168640000.0
GB,BE,5108400.0
GB,FR,1378173600.0
GB,GB-NIR,4682786400.0
GB,IE,2774617200.0
GB,NL,677700000.0
GB-NIR,GB,2187424800.0
GR,BG,27190800.0
GR,IT,3792510000.0
GR,MK,795816000.0
GR,TR,39517200.0
HR,BA,568886400.0
HR,HU,1918828800.0
HR,RS,138348000.0
HR,SI,11648044800.0
HU,AT,1577203200.0
HU,HR,9148345200.0
HU,RO,1501059600.0
HU,RS,980442000.0
HU,SK,97909200.0
HU,UA,0.0
IE,GB,4567143600.0
IT,AT,72810000.0
IT,CH,439041600.0
IT,FR,283424400.0
IT,GR,2235618000.0
IT,MT,2180592000.0
IT,SI,214959600.0
LT,BY,988635600.0
LT,LV,304632000.0
LT,PL,5814874800.0
LT,RU-KGD,11354400.0
LT,SE,777114000.0
LU,BE,476359200.0
LU,DE,0.0
LV,EE,57085200.0
LV,LT,12830972400.0
LV,RU,10785600.0
ME,BA,3977697600.0
ME,RS,2943568800.0
MK,BG,86400.0
MK,GR,6464588400.0
MK,RS,1223582400.0
MT,IT,28378800.0
NL,BE,35862015600.0
NL,DE,316753200.0
NL,GB,24944821200.0
NL,NO,1199268000.0
NO,DK,17590752000.0
NO,FI,682804800.0
NO,NL,13986136800.0
NO,SE,32312865600.0
PL,CZ,12347474400.0
PL,DE,77295600.0
PL,LT,2582262000.0
PL,SE,1354287600.0
PL,SK,11649348000.0
PT,ES,19905206400.0
RO,BG,7355804400.0
RO,HU,3134160000.0
RO,RS,6412723200.0
RO,UA,1624248000.0
RS,BA,2532542400.0
RS,BG,67078800.0
RS,HR,6427152000.0
RS,HU,4439300400.0
RS,ME,1562925600.0
RS,MK,5499428400.0
RS,RO,746470800.0
RU,EE,2161594800.0
RU,FI,28235595600.0
RU,LV,4275028800.0
RU-KGD,LT,10653645600.0
SE,DE,4612035600.0
SE,DK,16802474400.0
SE,FI,49338385200.0
SE,LT,10788238800.0
SE,NO,18223668000.0
SE,PL,11156281200.0
SI,AT,1436421600.0
SI,HR,2239923600.0
SI,IT,24378152400.0
SK,CZ,240220800.0
SK,HU,24582610800.0
SK,PL,100886400.0
SK,UA,6445054800.0
TR,BG,331999200.0
TR,GR,10493100000.0
UA,HU,18280371600.0
UA,RO,2806772400.0
UA,SK,604411200.0
