technology,country,energy_MJ
Biomass,AT,37081166400.0
Fossil Gas,AT,117602582400.0
Fossil Hard coal,AT,20482840800.0
Fossil Oil,AT,0.0
Geothermal,AT,0.0
Hydro Pumped Storage,AT,67629124800.0
Hydro Run-of-river and poundage,AT,365237298000.0
Hydro Water Reservoir,AT,66973370400.0
Other,AT,2775168000.0
Other renewable,AT,0.0
Solar,AT,20499188400.0
Waste,AT,12614400000.0
Wind Onshore,AT,92105960400.0
Biomass,BE,11087503200.0
Fossil Gas,BE,80282844000.0
Fossil Hard coal,BE,0.0
Fossil Oil,BE,10436400.0
Hydro Pumped Storage,BE,3609280800.0
Hydro Run-of-river and poundage,BE,223905600.0
Nuclear,BE,97491276000.0
Other,BE,19664330400.0
Solar,BE,12787074000.0
Waste,BE,5731272000.0
Wind Offshore,BE,11922638400.0
Wind Onshore,BE,10656831600.0
Fossil Brown coal/Lignite,BA,7151443200.0
Fossil Hard coal,BA,30926066400.0
Hydro Water Reservoir,BA,13135950000.0
Wind Onshore,BA,33735600.0
Biomass,BG,923954400.0
Fossil Brown coal/Lignite,BG,70573784400.0
Fossil Gas,BG,7108156800.0
Fossil Hard coal,BG,2136304800.0
Hydro Pumped Storage,BG,913557600.0
Hydro Run-of-river and poundage,BG,5861257200.0
Hydro Water Reservoir,BG,12285954000.0
Nuclear,BG,58038447600.0
Solar,BG,4340800800.0
Waste,BG,115729200.0
Wind Onshore,BG,4582962000.0
Biomass,CZ,8112254400.0
Fossil Brown coal/Lignite,CZ,121421426400.0
Fossil Coal-derived gas,CZ,5980824000.0
Fossil Gas,CZ,12085513200.0
Fossil Hard coal,CZ,12555450000.0
Fossil Oil,CZ,182433600.0
Hydro Pumped Storage,CZ,3749515200.0
Hydro Run-of-river and poundage,CZ,2682187200.0
Hydro Water Reservoir,CZ,3602912400.0
Nuclear,CZ,101622675600.0
Other,CZ,3625894800.0
Other renewable,CZ,8597811600.0
Solar,CZ,8391085200.0
Waste,CZ,543326400.0
Wind Onshore,CZ,2181294000.0
Biomass,DK,13836513600.0
Fossil Gas,DK,10233169200.0
Fossil Hard coal,DK,23125680000.0
Fossil Oil,DK,739062000.0
Solar,DK,3470709600.0
Waste,DK,4460007600.0
Wind Offshore,DK,15964455600.0
Wind Onshore,DK,34259382000.0
Biomass,EE,1979233200.0
Fossil Coal-derived gas,EE,1626696000.0
Fossil Gas,EE,112269600.0
Fossil Oil shale,EE,29524672800.0
Fossil Peat,EE,135680400.0
Hydro Run-of-river and poundage,EE,101872800.0
Other,EE,0.0
Other renewable,EE,193759200.0
Solar,EE,30744000.0
Waste,EE,444351600.0
Wind Onshore,EE,2204431200.0
Biomass,FI,23059569600.0
Fossil Gas,FI,17999823600.0
Fossil Hard coal,FI,21495711600.0
Fossil Oil,FI,62330400.0
Fossil Peat,FI,15391360800.0
Hydro Run-of-river and poundage,FI,45067744800.0
Nuclear,FI,78784444800.0
Other,FI,5054320800.0
Other renewable,FI,1179871200.0
Waste,FI,873356400.0
Wind Onshore,FI,19390489200.0
Biomass,FR,12558452400.0
Fossil Gas,FR,107695224000.0
Fossil Hard coal,FR,20907219600.0
Fossil Oil,FR,6834686400.0
Hydro Pumped Storage,FR,42774516000.0
Hydro Run-of-river and poundage,FR,154205352000.0
Hydro Water Reservoir,FR,63622220400.0
Nuclear,FR,1409884930800.0
Solar,FR,35004675600.0
Waste,FR,7287566400.0
Wind Onshore,FR,96487250400.0
Biomass,DE,578659590000.0
Fossil Brown coal/Lignite,DE,1850754708000.0
Fossil Coal-derived gas,DE,53891402400.0
Fossil Gas,DE,487733277600.0
Fossil Hard coal,DE,1039841805600.0
Fossil Oil,DE,39843910800.0
Geothermal,DE,450302400.0
Hydro Pumped Storage,DE,144841953600.0
Hydro Run-of-river and poundage,DE,206674812000.0
Hydro Water Reservoir,DE,13000140000.0
Nuclear,DE,1034296358400.0
Other,DE,55597842000.0
Other renewable,DE,19648299600.0
Solar,DE,593726450400.0
Waste,DE,82432764000.0
Wind Offshore,DE,274683884400.0
Wind Onshore,DE,1288763794800.0
Fossil Brown coal/Lignite,GR,54766288800.0
Fossil Gas,GR,54846194400.0
Fossil Oil,GR,0.0
Hydro Pumped Storage,GR,2350083600.0
Hydro Water Reservoir,GR,15806487600.0
Solar,GR,12310149600.0
Wind Onshore,GR,17486460000.0
Biomass,HU,13106289600.0
Fossil Brown coal/Lignite,HU,68765792400.0
Fossil Gas,HU,89886286800.0
Fossil Oil,HU,64890000.0
Hydro Run-of-river and poundage,HU,1195963200.0
Hydro Water Reservoir,HU,1393707600.0
Nuclear,HU,213187932000.0
Other,HU,9652233600.0
Other renewable,HU,1641038400.0
Waste,HU,1697824800.0
Wind Onshore,HU,8212795200.0
Fossil Gas,IE,59404294800.0
Fossil Hard coal,IE,10681891200.0
Fossil Oil,IE,13019130000.0
Fossil Peat,IE,13379626800.0
