technology,country,energy_MJ
Hydro Pumped Storage,IE,4199090400.0
Hydro Run-of-river and poundage,IE,2895692400.0
Other,IE,116438400.0
Wind Onshore,IE,48340641600.0
Biomass,IT,12567319200.0
Fossil Coal-derived gas,IT,6975151200.0
Fossil Gas,IT,268165386000.0
Fossil Hard coal,IT,93006212400.0
Fossil Oil,IT,3500510400.0
Geothermal,IT,20520619200.0
Hydro Pumped Storage,IT,10290801600.0
Hydro Run-of-river and poundage,IT,129134786400.0
Hydro Water Reservoir,IT,30892420800.0
Other,IT,213424855200.0
Solar,IT,64163134800.0
Waste,IT,1193608800.0
Wind Onshore,IT,62249659200.0
Biomass,LV,2376950400.0
Fossil Gas,LV,9529257600.0
Hydro Run-of-river and poundage,LV,8509060800.0
Other,LV,2532355200.0
Wind Onshore,LV,375440400.0
Fossil Brown coal/Lignite,MK,11126008800.0
Hydro Run-of-river and poundage,MK,9403441200.0
Wind Onshore,MK,319395600.0
Fossil Brown coal/Lignite,ME,5197798800.0
Hydro Water Reservoir,ME,4646811600.0
Other renewable,ME,0.0
Wind Onshore,ME,331804800.0
Biomass,NL,4717227600.0
Fossil Gas,NL,549121032000.0
Fossil Hard coal,NL,3546000.0
Nuclear,NL,53534271600.0
Other,NL,31251600.0
Solar,NL,44387409600.0
Wind Offshore,NL,50990914800.0
Wind Onshore,NL,106720437600.0
Fossil Gas,NO,11023027200.0
Hydro Run-of-river and poundage,NO,36044805600.0
Hydro Water Reservoir,NO,461238984000.0
Other,NO,4061818800.0
Wind Onshore,NO,12169947600.0
Biomass,PL,6482437200.0
Fossil Brown coal/Lignite,PL,160887546000.0
Fossil Coal-derived gas,PL,1956186000.0
Fossil Gas,PL,31260070800.0
Fossil Hard coal,PL,286842225600.0
Fossil Oil,PL,5661612000.0
Hydro Pumped Storage,PL,2278843200.0
Hydro Run-of-river and poundage,PL,5292691200.0
Hydro Water Reservoir,PL,370569600.0
Wind Onshore,PL,44327527200.0
Biomass,PT,9984168000.0
Fossil Gas,PT,51984374400.0
Fossil Hard coal,PT,40192966800.0
Hydro Pumped Storage,PT,11196979200.0
Hydro Run-of-river and poundage,PT,26335922400.0
Hydro Water Reservoir,PT,10734267600.0
Other,PT,1187978400.0
Solar,PT,2953796400.0
Wind Onshore,PT,44468816400.0
Biomass,RO,1259827200.0
Fossil Brown coal/Lignite,RO,52517671200.0
Fossil Gas,RO,38359090800.0
Fossil Hard coal,RO,4269063600.0
Hydro Run-of-river and poundage,RO,39073150800.0
Hydro Water Reservoir,RO,24473800800.0
Nuclear,RO,40791164400.0
Solar,RO,4833154800.0
Wind Onshore,RO,22344548400.0
Biomass,RS,300484800.0
Fossil Brown coal/Lignite,RS,81248148000.0
Fossil Gas,RS,62751600.0
Hydro Pumped Storage,RS,2650982400.0
Hydro Run-of-river and poundage,RS,33800007600.0
Hydro Water Reservoir,RS,3827505600.0
Other,RS,1382364000.0
Biomass,SK,2139292800.0
Fossil Brown coal/Lignite,SK,4799102400.0
Fossil Gas,SK,5067525600.0
Fossil Hard coal,SK,2906841600.0
Fossil Oil,SK,1603486800.0
Hydro Pumped Storage,SK,2175782400.0
Hydro Run-of-river and poundage,SK,11244308400.0
Hydro Water Reservoir,SK,580561200.0
Nuclear,SK,52773328800.0
Other,SK,10479934800.0
Other renewable,SK,1310846400.0
Solar,SK,1774911600.0
Wind Onshore,SK,0.0
Biomass,SI,279075600.0
Fossil Brown coal/Lignite,SI,14939985600.0
Fossil Gas,SI,1011826800.0
Fossil Oil,SI,118800.0
Hydro Pumped Storage,SI,676098000.0
Hydro Run-of-river and poundage,SI,16439540400.0
Nuclear,SI,19757120400.0
Solar,SI,884001600.0
Waste,SI,329432400.0
Wind Onshore,SI,16966800.0
Hydro Water Reservoir,SE,223605910800.0
Nuclear,SE,236835190800.0
Other,SE,30002497200.0
Wind Onshore,SE,58678660800.0
Hydro Pumped Storage,CH,24789016800.0
Hydro Run-of-river and poundage,CH,5523411600.0
Hydro Water Reservoir,CH,37045857600.0
Nuclear,CH,84823959600.0
Solar,CH,1267804800.0
Wind Onshore,CH,207136800.0
