fromCountry,toCountry,energy_MJ
AT,CH,23823723600.0
AT,CZ,44618400.0
AT,DE,1262786400.0
AT,HU,10481428800.0
AT,IT,5114638800.0
AT,SI,13278942000.0
BA,HR,13163007600.0
BA,ME,6244642800.0
BA,RS,521895600.0
BE,FR,15990278400.0
BE,NL,6461485200.0
BG,GR,9018954000.0
BG,MK,7765308000.0
BG,RO,653601600.0
BG,RS,4904384400.0
BG,TR,16575861600.0
BY,LT,5167742400.0
CH,AT,432928800.0
CH,DE,3899160000.0
CH,FR,6372658800.0
CH,IT,71455845600.0
CZ,AT,36497376000.0
CZ,DE,18247078800.0
CZ,PL,377384400.0
CZ,SK,32228751600.0
DE,AT,46117015200.0
DE,CH,56384838000.0
DE,CZ,23117148000.0
DE,DK,18849956400.0
DE,FR,7225434000.0
DE,NL,56828426400.0
DE,PL,32738252400.0
DE,SE,2862381600.0
DK,DE,9940906800.0
DK,NO,6244736400.0
DK,SE,18334400400.0
EE,FI,2365984800.0
EE,LV,10537830000.0
EE,RU,5928393600.0
ES,FR,14705931600.0
ES,PT,6640509600.0
FI,EE,10877270400.0
FI,NO,181904400.0
FI,RU,543600.0
FI,SE,1042225200.0
FR,BE,14128779600.0
FR,CH,17076898800.0
FR,DE,27182052000.0
FR,ES,42591114000.0
FR,GB,40304923200.0
FR,IT,39799983600.0
GB,FR,3997965600.0
GB,GB-NIR,1570410000.0
GB,IE,2004800400.0
GB,NL,502527600.0
GB-NIR,GB,2479734000.0
GR,BG,52167600.0
GR,IT,1115416800.0
GR,MK,540831600.0
GR,TR,245228400.0
HR,BA,807804000.0
HR,HU,768520800.0
HR,RS,211370400.0
HR,SI,9654667200.0
HU,AT,869529600.0
HU,HR,13135078800.0
HU,RO,1716598800.0
HU,RS,1509627600.0
HU,SK,7477200.0
HU,UA,1908000.0
IE,GB,3024896400.0
IT,AT,199256400.0
IT,CH,1136739600.0
IT,FR,1076184000.0
IT,GR,7255018800.0
IT,MT,5478847200.0
IT,SI,613954800.0
LT,BY,1434999600.0
LT,LV,433908000.0
LT,PL,3720826800.0
LT,RU-KGD,183225600.0
LT,SE,430070400.0
LV,EE,106869600.0
LV,LT,10468044000.0
LV,RU,61264800.0
ME,BA,2228745600.0
ME,RS,1512126000.0
MK,BG,3528000.0
MK,GR,10659718800.0
MK,RS,458830800.0
MT,IT,0.0
NL,BE,31478234400.0
NL,DE,685173600.0
NL,GB,27897490800.0
NL,NO,1008342000.0
NO,DK,23768802000.0
NO,FI,715172400.0
NO,NL,15148659600.0
NO,SE,36044614800.0
PL,CZ,24500930400.0
PL,DE,970200000.0
PL,LT,1584111600.0
PL,SE,632116800.0
PL,SK,15074578800.0
PT,ES,24776413200.0
RO,BG,15542424000.0
RO,HU,3044746800.0
RO,RS,5922752400.0
RS,BA,3413750400.0
RS,BG,795783600.0
RS,HR,5070942000.0
RS,HU,3250983600.0
RS,ME,1633320000.0
RS,MK,7120778400.0
RS,RO,1134486000.0
RU,EE,630633600.0
RU,FI,21014755200.0
RU,LV,3915540000.0
RU-KGD,LT,8007912000.0
SE,DE,5240516400.0
SE,DK,10894100400.0
SE,FI,55263722400.0
SE,LT,9549446400.0
SE,NO,12255109200.0
SE,PL,9950108400.0
SI,AT,1319792400.0
SI,HR,2759565600.0
SI,IT,23369115600.0
SK,CZ,168836400.0
SK,HU,30169465200.0
SK,PL,11091600.0
SK,UA,7793168400.0
TR,BG,13143600.0
TR,GR,5171018400.0
UA,HU,15757455600.0
UA,SK,228117600.0
