technology,country,energy_MJ
Wind Onshore,RO,23042181600.0
Biomass,RS,2764800.0
Fossil Brown coal/Lignite,RS,2427508800.0
Fossil Gas,RS,1382400.0
Hydro Pumped Storage,RS,24015600.0
Hydro Run-of-river and poundage,RS,502336800.0
Hydro Water Reservoir,RS,132735600.0
Other,RS,72493200.0
Biomass,SK,1430280000.0
Fossil Brown coal/Lignite,SK,5898628800.0
Fossil Gas,SK,3529364400.0
Fossil Hard coal,SK,1845568800.0
Fossil Oil,SK,1608577200.0
Hydro Pumped Storage,SK,1744855200.0
Hydro Run-of-river and poundage,SK,14510188800.0
Hydro Water Reservoir,SK,621410400.0
Nuclear,SK,53121423600.0
Other,SK,11322694800.0
Other renewable,SK,1129359600.0
Solar,SK,1850842800.0
Wind Onshore,SK,0.0
Biomass,SI,278276400.0
Fossil Brown coal/Lignite,SI,16205763600.0
Fossil Gas,SI,1104904800.0
Fossil Oil,SI,0.0
Hydro Pumped Storage,SI,998881200.0
Hydro Run-of-river and poundage,SI,15705777600.0
Nuclear,SI,19550829600.0
Solar,SI,1134514800.0
Waste,SI,473940000.0
Wind Onshore,SI,15127200.0
Hydro Water Reservoir,SE,222404025600.0
Nuclear,SE,218161422000.0
Other,SE,27406195200.0
Wind Onshore,SE,56144696400.0
Hydro Pumped Storage,CH,18433148400.0
Hydro Run-of-river and poundage,CH,2084965200.0
Hydro Water Reservoir,CH,28563411600.0
Nuclear,CH,70951514400.0
Solar,CH,1207555200.0
Wind Onshore,CH,246488400.0
