technology,country,energy_MJ
Biomass,BE,10567469383.5836
Fossil Gas,BE,74363209512.6943
Fossil Hard coal,BE,1165928073.53471
Fossil Oil,BE,15206445.7041193
Hydro Run-of-river and poundage,BE,308518503.716714
Nuclear,BE,146488214452.49
Other,BE,17069558841.1089
Solar,BE,10303057742.5707
Waste,BE,5598783714.98604
Wind Offshore,BE,8307503606.14852
Wind Onshore,BE,7944267483.46233
Hydro Pumped Storage,BE,3992140800
Hydro Run-of-river and poundage,CH,1574803708.9696
Hydro Water Reservoir,CH,18597993397.6185
Nuclear,CH,56326128548.7311
Solar,CH,840427375.352729
Wind Onshore,CH,201574369.328074
Hydro Pumped Storage,CH,18433148400
Biomass,ES,11237635856.4451
Fossil Brown coal/Lignite,ES,11815556363.2171
Fossil Coal-derived gas,ES,0
Fossil Gas,ES,158203349486.171
Fossil Hard coal,ES,112942547622.038
Fossil Oil,ES,8801761688.07151
Fossil Oil shale,ES,0
Fossil Peat,ES,0
Geothermal,ES,0
Hydro Run-of-river and poundage,ES,31318376802.1891
Hydro Water Reservoir,ES,102623596993.276
Marine,ES,0
Nuclear,ES,196473458205.167
Other,ES,1850725651.17018
Other renewable,ES,2483590234.75564
Solar,ES,43675437347.0614
Waste,ES,7967787196.26512
Wind Offshore,ES,0
Wind Onshore,ES,165948812674.173
Hydro Pumped Storage,ES,17894635200
Biomass,SI,271859917.077653
Fossil Brown coal/Lignite,SI,15792730816.7598
Fossil Gas,SI,1075904427.7844
Fossil Oil,SI,0
Hydro Run-of-river and poundage,SI,15302510536.3541
Nuclear,SI,19121214504.3073
Solar,SI,1103966913.45088
Waste,SI,462705140.173489
Wind Onshore,SI,14715424.0924148
Hydro Pumped Storage,SI,998881200
